Post Character ID,Full Set Character ID,Difference (%)
p21_36,3726,17.4375
p21_37,3406,11.5
p21_38,2122,13.625
p21_39,2587,15.1875
p21_4,0681,10.3125
p21_40,3895,19.4375
p21_41,1243,11.6875
p21_42,0681,10.3125
p21_43,3223,9.125
p21_44,0095,8.0
p21_45,0265,16.6875
p21_46,1126,18.125
p21_47,8680,10.4375
p21_48,3561,14.5625
p21_49,1130,10.8125
p21_5,1130,10.8125
p21_50,8440,8.0625
p21_51,3333,8.6875
p21_52,5924,0.25
p21_53,2469,10.0625
p21_54,3734,10.6875
p21_55,1937,3.5
p21_56,3956,13.875
p21_57,5734,0.75
p21_58,5576,0.3125
p21_59,2806,14.0
p21_6,8440,8.0625
p21_7,3181,7.25
p21_8,1568,13.375
p21_9,9078,7.25
p22_1,3306,16.625
p22_10,6102,6.0
p22_2,0252,10.625
p22_3,8051,7.4375
p22_4,0253,10.4375
p22_5,0089,11.375
p22_6,7098,9.125
p22_7,2806,12.875
p22_8,3819,10.5
p22_9,7098,7.625
p23_1,0230,18.75
p23_2,8911,6.875
p23_3,1126,14.3125
p23_4,0701,13.5625
p23_5,0095,10.125
p23_6,3954,13.125
p23_7,8051,10.8125
p23_8,0781,12.6875
p23_9,4625,6.5
p24_1,3333,10.75
p24_10,1430,10.1875
p24_11,3453,18.875
p24_12,2806,13.25
p24_13,1319,12.6875
p24_14,1130,7.0
p24_15,8440,10.625
p24_16,0991,13.0
p24_17,0089,16.625
p24_18,1335,13.4375
p24_19,0243,19.75
p24_2,3131,9.6875
p24_20,3573,18.8125
p24_21,0681,16.625
p24_22,3453,15.3125
p24_23,7937,11.4375
p24_24,3987,10.375
p24_25,7615,12.1875
p24_26,0089,15.0625
p24_27,0521,13.0
p24_28,1711,9.6875
p24_29,3573,22.0
p24_3,3563,15.5625
p24_30,0799,17.375
p24_31,4301,16.0
p24_32,1243,9.9375
p24_33,8123,11.75
p24_34,1307,21.875
p24_35,1430,11.25
p24_36,1877,11.875
p24_37,1130,12.25
p24_38,6423,11.6875
p24_39,0476,11.375
p24_4,0528,17.0625
p24_40,0781,17.25
p24_41,8764,24.0
p24_42,3314,11.0
p24_43,0089,17.25
p24_44,0521,14.4375
p24_45,3948,15.6875
p24_46,5560,15.625
p24_47,3563,18.1875
p24_48,1243,15.4375
p24_49,3590,21.5
p24_5,1985,14.75
p24_50,1430,9.5625
p24_51,0681,11.4375
p24_52,8929,19.875
p24_53,6784,13.875
p24_54,3453,19.0625
p24_55,3500,16.75
p24_56,0510,11.5
p24_57,0089,12.4375
p24_58,5924,10.5
p24_59,3374,10.875
p24_6,3946,18.5
p24_60,3948,11.375
p24_61,7937,14.125
p24_62,3573,20.125
p24_63,7615,16.625
p24_64,3939,6.5
p24_65,2781,10.625
p24_66,0681,19.3125
p24_67,6572,9.75
p24_68,3720,12.8125
p24_69,1545,22.8125
p24_7,2806,9.9375
p24_70,0681,18.25
p24_71,8929,15.875
p24_72,6784,12.9375
p24_73,3573,7.5625
p24_74,1430,11.125
p24_75,1557,12.3125
p24_76,5096,13.0
p24_77,8480,13.8125
p24_78,2619,16.3125
p24_79,1130,9.0625
p24_8,1545,12.125
p24_80,8440,17.0
p24_9,3573,17.0625
p25_1,0781,11.25
p25_10,3784,18.5625
p25_11,1616,13.3125
p25_12,3993,9.375
p25_13,2781,16.1875
p25_14,0142,15.375
p25_15,0656,11.8125
p25_16,0243,16.75
p25_17,2872,20.0
p25_18,1430,8.5625
p25_19,0681,12.875
p25_2,0829,11.4375
p25_20,3956,19.3125
p25_21,1446,15.6875
p25_22,0941,11.8125
p25_23,1904,13.4375
p25_24,0538,17.75
p25_25,2390,15.25
p25_26,5319,9.125
p25_27,1368,17.375
p25_28,3666,16.1875
p25_29,3314,9.75
p25_3,1907,15.875
p25_30,0089,9.4375
p25_31,2865,10.25
p25_32,3474,17.5625
p25_33,0046,9.125
p25_34,0681,12.25
p25_35,1049,14.25
p25_36,0089,9.0625
p25_37,1431,16.8125
p25_38,1347,12.4375
